MAE_train,MAE_val,R2_train,R2_val,epoch,step,train_loss,val_loss
,1.3346209526062012,,0.5833979845046997,22,183,,3.4421350955963135
0.6761974692344666,,0.8911042809486389,,22,183,0.875774621963501,
,1.1969109773635864,,0.6404378414154053,23,191,,2.970848560333252
0.6260886192321777,,0.9098086953163147,,23,191,0.7244240641593933,
,1.2243831157684326,,0.6206040978431702,24,199,,3.134723424911499
0.5972683429718018,,0.9166813492774963,,24,199,0.6680277585983276,
,1.1827447414398193,,0.6474735140800476,25,207,,2.912717580795288
0.538146436214447,,0.9355751276016235,,25,207,0.5277499556541443,
,1.2974417209625244,,0.5949634909629822,26,215,,3.346576690673828
0.6071263551712036,,0.9150505065917969,,26,215,0.6700255274772644,
,1.2941960096359253,,0.5757054686546326,27,223,,3.5056941509246826
0.6557409167289734,,0.905400276184082,,27,223,0.7696259617805481,
,1.4207565784454346,,0.5335245132446289,28,231,,3.854210615158081
0.6866793632507324,,0.8886826038360596,,28,231,0.8802390098571777,
,1.3070952892303467,,0.5731985569000244,29,239,,3.526407480239868
0.6782923340797424,,0.9045523405075073,,29,239,0.8004629015922546,
,1.203283667564392,,0.6382408142089844,30,247,,2.9890010356903076
0.5341381430625916,,0.9341576099395752,,30,247,0.5177028179168701,
,1.2258292436599731,,0.6279668807983398,31,255,,3.0738892555236816
0.48657384514808655,,0.9409029483795166,,31,255,0.4601218104362488,
,1.1690709590911865,,0.641888439655304,32,263,,2.9588634967803955
0.4872160851955414,,0.9354430437088013,,32,263,0.4558939039707184,
,1.216485619544983,,0.612151026725769,33,271,,3.204566478729248
0.4894908666610718,,0.9422702193260193,,33,271,0.4645015597343445,
,1.2132447957992554,,0.6242769956588745,34,279,,3.104377031326294
0.4613398611545563,,0.9474589228630066,,34,279,0.42270517349243164,
,1.2157795429229736,,0.6264039874076843,35,287,,3.0868024826049805
0.5079643726348877,,0.9373510479927063,,35,287,0.5069921612739563,
,1.2763694524765015,,0.5886013507843018,36,295,,3.3991429805755615
0.4656623303890228,,0.9438624978065491,,36,295,0.4331742227077484,
,1.2128500938415527,,0.6205582022666931,37,303,,3.1351022720336914
0.5051690936088562,,0.9319882392883301,,37,303,0.5296318531036377,
,1.165464162826538,,0.6363201141357422,38,311,,3.0048716068267822
0.41381409764289856,,0.9531508684158325,,38,311,0.3755773901939392,
,1.204834222793579,,0.628201425075531,39,319,,3.071951150894165
0.5147600769996643,,0.934138298034668,,39,319,0.5119574069976807,
,1.185021996498108,,0.6372923851013184,40,327,,2.996838092803955
0.46279603242874146,,0.945769190788269,,40,327,0.4391177296638489,
,1.185021996498108,,0.6372923851013184,41,328,,2.996838092803955
